year,number_public_libraries,total_collection,total_books,total_books_adults,adult_book_fiction,adult_book_non_fiction,adult_reference_books,total_books_infants,infant_books_fiction,infant_books_non_fiction,infant_reference_books,sheet_music,total_audiovisual,cds,dvds,cd_roms_and_cd_is,other_audiovisual,total_loans,books_total_loans,adult_books_total_loans,loans_adult_books_fiction,loans_adult_books_non_fiction,loans_adult_reference_books,infants_books_total_loans,loans_infants_books_fiction,loans_infants_books_non_fiction,loans_infants_reference_books,loans_music,total_loans_audiovisual,loans_cds,loans_dvds,loans__cd_roms_and_cd_is,loans_other_audiovisual,total_users,infants_users,adult_users
2005,341,35440,31269,19078,9452,9366,260,12191,8678,3498,15,591,2274,1292,594,263,125,132579,120101,66806,48452,18345,9,53295,44265,9025,4,444,6020,2312,2622,733,353,4039,1976,2063
2006,238,33883,31158,18791,9404,9145,243,12367,8762,3590,15,553,2172,1173,608,239,152,126591,120520,65768,47212,18547,9,54752,45366,9383,3,428,5644,1947,2788,570,339,4001,2003,1998
2007,202,33921,31211,18764,9454,9104,206,12447,8895,3540,12,544,2166,1126,682,227,130,124680,118673,63884,46715,17163,7,54788,45587,9200,1,409,5599,1736,3051,476,336,4011,2053,1958
2008,194,33711,31047,18382,9524,8858,177,12665,9052,3613,1,532,2132,1006,765,613,361,112592,106789,57731,42554,15177,7,49058,40676,8382,3,370,5433,1544,3047,168,841,3969,2052,1917
2009,171,32088,29299,16781,8999,7783,155,12517,8954,3563,1,476,2313,973,834,861,507,104851,98342,52251,39737,12514,6,46091,38344,7747,3,298,6211,1533,3346,266,1332,4027,2079,1948
2010,166,31323,28532,16194,8791,7403,148,12338,8982,3356,1,494,2297,910,913,807,475,100102,93398,49961,38258,11703,5,43437,36269,7168,2,255,6450,1420,3799,246,1231,3996,2113,1883
2011,163,30667,27922,15552,8677,6875,137,12370,9082,3288,1,482,2263,818,972,804,473,100025,93028,48832,37391,11441,5,44196,37064,7132,2,230,6768,1335,4194,247,1239,4009,2189,1820
2012,162,29120,26487,14775,8205,6570,131,11712,8663,3049,1,444,2189,726,1009,771,454,92332,85193,44397,34014,10383,5,40796,34535,6261,2,197,6942,1220,4644,215,1078,3970,2230,1740
2013,160,27411,24837,13627,7614,6013,120,11210,8394,2816,1,419,2155,629,1097,729,429,84397,77701,39674,30593,9081,4,38027,32157,5870,2,160,6536,966,4634,187,936,3858,2238,1620
2014,157,26561,24243,13071,7106,5965,119,11173,8388,2785,1,380,1938,532,1001,686,404,80396,73374,37520,28543,8977,4,35855,30150,5705,2,141,6880,832,5118,186,930,3784,2257,1527
2015,156,25356,23231,11986,6678,5308,106,11245,8541,2704,1,365,1761,450,948,617,363,78069,72728,35510,27401,8109,4,37218,31704,5514,2,123,5217,667,3793,151,756,3784,2306,1478
2016,154,24859,22924,11400,6398,5002,100,11524,8905,2619,1,350,1585,343,911,562,331,73468,68811,32941,25401,7541,3,35870,30551,5319,2,102,4554,564,3356,126,634,3716,2306,1410
2017,149,25201,23342,11592,6395,5197,103,11750,9076,2674,1,329,1530,312,902,537,316,71490,67380,31411,24233,7178,3,35969,30727,5242,2,93,4017,443,2848,145,725,3704,2331,1373
2018,146,24417,22717,10865,5963,4902,98,11852,9132,2720,1,330,1369,266,814,491,289,66608,63307,28803,22276,6527,3,34504,29331,5174,2,78,3222,337,2397,97,488,3655,2301,1355
2019,145,24378,22798,10628,5870,4758,95,12170,9407,2763,1,321,1259,225,755,474,279,63844,61099,26985,20670,6315,3,34113,28880,5233,2,73,2672,322,2005,69,345,3620,2297,1323
2020,140,24818,23382,10848,6038,4810,96,12533,9774,2759,1,311,1125,146,735,414,244,44958,43428,19593,15268,4325,2,23835,20416,3419,1,45,1485,103,1177,41,205,3492,2230,1262
2021,139,23817,22607,10184,5607,4578,91,12423,9681,2742,1,231,978,129,639,358,211,40772,39794,17041,13183,3857,1,22753,19637,3116,1,35,943,73,730,28,141,3330,2090,1240
2022,137,23542,22458,9906,5459,4447,88,12553,9799,2754,1,229,855,126,548,307,181,54336,53281,21661,16682,4979,2,31620,27098,4522,1,44,1012,80,795,27,136,3442,2177,1265
